source,frame,detected,n_persons,max_conf
clean,655,1,1,0.9544
clean,656,1,1,0.9525
clean,657,1,1,0.9493
clean,658,1,1,0.9486
clean,659,1,1,0.9513
clean,660,1,1,0.9523
clean,661,1,1,0.9501
clean,662,1,1,0.9482
clean,663,1,1,0.9493
clean,664,1,1,0.9481
clean,665,1,1,0.9462
clean,666,1,1,0.9444
clean,667,1,1,0.9458
clean,668,1,1,0.9448
clean,669,1,1,0.9429
clean,670,1,1,0.9438
clean,671,1,1,0.9402
clean,672,1,1,0.9407
clean,673,1,1,0.9415
clean,674,1,1,0.9425
clean,675,1,1,0.9402
clean,676,1,1,0.9397
clean,677,1,1,0.936
clean,678,1,1,0.9386
clean,679,1,1,0.941
clean,680,1,1,0.9377
clean,681,1,1,0.9412
clean,682,1,1,0.9415
clean,683,1,1,0.9393
clean,684,1,1,0.9407
clean,685,1,1,0.9404
clean,686,1,1,0.9406
clean,687,1,1,0.9437
clean,688,1,1,0.9428
clean,689,1,1,0.9431
clean,690,1,1,0.9424
clean,691,1,1,0.9427
clean,692,1,1,0.9402
clean,693,1,1,0.941
clean,694,1,1,0.9411
clean,695,1,1,0.9419
clean,696,1,1,0.9424
clean,697,1,1,0.9412
clean,698,1,1,0.9418
clean,699,1,1,0.9409
clean,700,1,1,0.9364
clean,701,1,1,0.94
clean,702,1,1,0.9412
clean,703,1,1,0.9441
clean,704,1,1,0.944
clean,705,1,1,0.9478
clean,706,1,1,0.9454
clean,707,1,1,0.9442
clean,708,1,1,0.9452
clean,709,1,1,0.9463
clean,710,1,1,0.9458
clean,711,1,1,0.9482
clean,712,1,1,0.9478
clean,713,1,1,0.9492
clean,714,1,1,0.9502
clean,715,1,1,0.9491
clean,716,1,1,0.9468
clean,717,1,1,0.9468
clean,718,1,1,0.9484
clean,719,1,1,0.9479
clean,720,1,1,0.942
clean,721,1,1,0.9398
clean,722,1,1,0.9328
clean,723,1,1,0.9276
clean,724,1,1,0.9231
clean,725,1,1,0.9163
clean,726,1,1,0.9147
clean,727,1,1,0.9179
clean,728,1,1,0.921
clean,729,1,1,0.9222
clean,730,1,1,0.9224
clean,731,1,1,0.9223
clean,732,1,1,0.9222
clean,733,1,1,0.9211
clean,734,1,1,0.9145
clean,735,1,1,0.914
clean,736,1,1,0.9078
clean,737,1,1,0.9126
clean,738,1,1,0.9021
clean,739,1,1,0.8971
clean,740,1,1,0.895
clean,741,1,1,0.8972
clean,742,1,1,0.8917
clean,743,1,1,0.8971
clean,744,1,1,0.8971
clean,745,1,1,0.9017
clean,746,1,1,0.903
clean,747,1,1,0.9047
clean,748,1,1,0.9024
clean,749,1,1,0.9023
clean,750,1,1,0.9056
clean,751,1,1,0.9065
clean,752,1,1,0.9045
clean,753,1,1,0.9102
clean,754,1,1,0.9025
clean,755,1,1,0.9006
clean,756,1,1,0.8988
clean,757,1,1,0.9033
clean,758,1,1,0.9029
clean,759,1,1,0.9021
clean,760,1,1,0.9055
clean,761,1,1,0.91
clean,762,1,1,0.9107
clean,763,1,1,0.913
clean,764,1,1,0.9134
clean,765,1,1,0.9134
clean,766,1,1,0.9119
clean,767,1,1,0.917
clean,768,1,1,0.9167
clean,769,1,1,0.9181
clean,770,1,1,0.9073
clean,771,1,1,0.9188
clean,772,1,1,0.9327
clean,773,1,1,0.9413
clean,774,1,1,0.9443
clean,775,1,1,0.9514
clean,776,1,1,0.9505
clean,777,1,1,0.9557
clean,778,1,1,0.9537
clean,779,1,1,0.9537
clean,780,1,1,0.9543
clean,781,1,1,0.954
clean,782,1,1,0.9508
clean,783,1,1,0.953
clean,784,1,1,0.9527
clean,785,1,1,0.9526
clean,786,1,1,0.9539
clean,787,1,1,0.9554
clean,788,1,1,0.9555
clean,789,1,1,0.9562
clean,790,1,1,0.9552
clean,791,1,1,0.9558
clean,792,1,1,0.9539
clean,793,1,1,0.9516
clean,794,1,1,0.9481
clean,795,1,1,0.9433
clean,796,1,1,0.9446
clean,797,1,1,0.9417
clean,798,1,1,0.9401
clean,799,1,1,0.9377
clean,800,1,1,0.9386
clean,801,1,1,0.9417
clean,802,1,1,0.9427
clean,803,1,1,0.9464
clean,804,1,1,0.9476
clean,805,1,1,0.9483
clean,806,1,1,0.9498
clean,807,1,1,0.9491
clean,808,1,1,0.9479
clean,809,1,1,0.9465
clean,810,1,1,0.9453
clean,811,1,1,0.9447
clean,812,1,1,0.9445
clean,813,1,1,0.9454
clean,814,1,1,0.9431
clean,815,1,1,0.9447
clean,816,1,1,0.944
clean,817,1,1,0.9459
clean,818,1,1,0.9479
clean,819,1,1,0.947
clean,820,1,1,0.9443
clean,821,1,1,0.943
clean,822,1,1,0.9397
clean,823,1,1,0.9376
clean,824,1,1,0.9325
clean,825,1,1,0.9371
clean,826,1,1,0.9403
clean,827,1,1,0.9395
clean,828,1,1,0.9452
clean,829,1,1,0.9444
clean,830,1,1,0.9464
clean,831,1,1,0.9457
clean,832,1,1,0.9483
clean,833,1,1,0.9496
clean,834,1,1,0.9487
clean,835,1,1,0.9529
clean,836,1,1,0.9537
clean,837,1,1,0.9551
clean,838,1,1,0.9559
clean,839,1,1,0.9573
clean,840,1,1,0.9573
clean,841,1,1,0.9567
clean,842,1,1,0.9555
clean,843,1,1,0.9573
clean,844,1,1,0.9579
clean,845,1,1,0.9533
clean,846,1,1,0.9509
clean,847,1,1,0.9495
clean,848,1,1,0.9518
clean,849,1,1,0.9447
clean,850,1,1,0.944
clean,851,1,1,0.93
clean,852,1,1,0.9272
clean,853,1,1,0.9308
clean,854,1,1,0.9293
clean,855,1,1,0.9342
clean,856,1,1,0.9301
clean,857,1,1,0.9308
clean,858,1,1,0.9262
clean,859,1,1,0.9282
clean,860,1,1,0.925
clean,861,1,1,0.9216
clean,862,1,1,0.9136
clean,863,1,1,0.9163
clean,864,1,1,0.9241
clean,865,1,1,0.9222
clean,866,1,1,0.923
clean,867,1,1,0.9244
clean,868,1,1,0.9265
clean,869,1,1,0.9228
clean,870,1,1,0.9226
clean,871,1,1,0.9276
clean,872,1,1,0.9267
clean,873,1,1,0.9303
clean,874,1,1,0.9363
clean,875,1,1,0.9295
clean,876,1,1,0.9275
clean,877,1,1,0.935
clean,878,1,1,0.9361
clean,879,1,1,0.9397
clean,880,1,1,0.939
clean,881,1,1,0.9417
clean,882,1,1,0.9428
clean,883,1,1,0.9359
clean,884,1,1,0.9266
clean,885,1,1,0.9206
clean,886,1,1,0.9312
clean,887,1,1,0.9185
clean,888,1,1,0.9276
clean,889,1,1,0.931
clean,890,1,1,0.9339
clean,891,1,1,0.9386
clean,892,1,1,0.9326
clean,893,1,1,0.936
clean,894,1,1,0.9309
clean,895,1,1,0.9428
clean,896,1,1,0.9453
clean,897,1,1,0.9511
clean,898,1,1,0.9554
clean,899,1,1,0.949
clean,900,1,1,0.9503
clean,901,1,1,0.9488
clean,902,1,1,0.9487
clean,903,1,1,0.9452
clean,904,1,1,0.9435
clean,905,1,1,0.9425
clean,906,1,1,0.9423
clean,907,1,1,0.9347
clean,908,1,1,0.935
clean,909,1,1,0.9333
clean,910,1,1,0.9296
clean,911,1,1,0.9243
clean,912,1,1,0.9272
clean,913,1,1,0.9189
clean,914,1,1,0.923
clean,915,1,1,0.93
clean,916,1,1,0.9204
clean,917,1,1,0.9192
clean,918,1,1,0.9143
clean,919,1,1,0.9149
clean,920,1,1,0.9102
clean,921,1,1,0.9131
clean,922,1,1,0.9139
clean,923,1,1,0.9216
clean,924,1,1,0.9091
clean,925,1,1,0.9201
clean,926,1,1,0.9204
clean,927,1,1,0.9136
clean,928,1,1,0.9137
clean,929,1,1,0.9129
clean,930,1,1,0.9249
clean,931,1,1,0.9098
clean,932,1,1,0.9198
clean,933,1,1,0.919
clean,934,1,1,0.9111
clean,935,1,1,0.9133
clean,936,1,1,0.9206
clean,937,1,1,0.9182
clean,938,1,1,0.923
clean,939,1,1,0.9269
clean,940,1,1,0.924
clean,941,1,1,0.912
clean,942,1,1,0.9102
clean,943,1,1,0.905
clean,944,1,1,0.8846
clean,945,1,1,0.8735
clean,946,1,1,0.892
clean,947,1,1,0.8964
clean,948,1,1,0.9006
clean,949,1,1,0.9007
clean,950,1,1,0.8858
clean,951,1,1,0.8919
clean,952,1,1,0.8747
clean,953,1,1,0.8778
clean,954,1,1,0.8671
clean,955,1,1,0.8921
clean,956,1,1,0.9168
clean,957,1,1,0.9265
clean,958,1,1,0.9216
clean,959,1,1,0.9263
clean,960,1,1,0.9237
clean,961,1,1,0.9218
clean,962,1,1,0.9261
clean,963,1,1,0.9231
clean,964,1,1,0.9121
clean,965,1,1,0.9126
clean,966,1,1,0.9177
clean,967,1,1,0.9187
clean,968,1,1,0.9115
clean,969,1,1,0.9057
clean,970,1,1,0.9126
clean,971,1,1,0.9133
clean,972,1,1,0.9116
clean,973,1,1,0.9118
clean,974,1,1,0.913
clean,975,1,1,0.9156
clean,976,1,1,0.9163
clean,977,1,1,0.915
clean,978,1,1,0.919
clean,979,1,1,0.9177
clean,980,1,1,0.9167
clean,981,1,1,0.919
clean,982,1,1,0.9209
clean,983,1,1,0.9187
clean,984,1,1,0.9202
clean,985,1,1,0.9239
clean,986,1,1,0.9121
clean,987,1,1,0.9121
clean,988,1,1,0.9164
clean,989,1,1,0.9174
clean,990,1,1,0.9191
clean,991,1,1,0.9197
clean,992,1,1,0.9234
clean,993,1,1,0.9235
clean,994,1,1,0.9248
clean,995,1,1,0.9261
clean,996,1,1,0.9261
clean,997,1,1,0.9226
clean,998,1,1,0.9232
clean,999,1,1,0.922
clean,1000,1,1,0.9131
clean,1001,1,1,0.9124
clean,1002,1,1,0.9078
